RENTAL_ZONE_HAL_ID;"RENTAL_ZONE_HAL_SRC";"NAME";"TYPE";"CITY";"COUNTRY";"POI_AIRPORT_X";POI_LONG_DISTANCE_TRAINS_X;POI_SUBURBAN_TRAINS_X;POI_UNDERGROUND_X;"CLASSIFICATION";"RENTAL_ZONE_GROUP";"CODE";"COMPANY";"COMPANY_GROUP";"FRANCHISE";ACTIVE_X;"RENTAL_ZONE_GROUP_X";"RENTAL_ZONE_X_COORDINATE";"RENTAL_ZONE_Y_COORDINATE"
49149;"Standort";"";"normal";"München";"DE";"0";0;0;0;"Call a Bike";"Prinzregentenplatz";"88001687";"";"Call a Bike";"";1;"J";"11,607222220000000";"48,139166670000000"
50264;"Standort";"";"normal";"Köln";"DE";"0";0;0;0;"Call a Bike";"Bahnhof West";"40022605";"";"Call a Bike";"";1;"J";"6,934101841300000";"50,944267676400000"
50269;"Standort";"";"normal";"Köln";"DE";"0";0;0;0;"Call a Bike";"Rudolfplatz";"40022653";"";"Call a Bike";"";1;"J";"6,940222632600000";"50,935836980100000"
50318;"Standort";"";"normal";"Köln";"DE";"0";0;0;0;"Call a Bike";"Eigelstein/Ebertplatz";"40023021";"";"Call a Bike";"";1;"J";"6,959110519600000";"50,950922812800000"
50755;"Standort";"";"normal";"Köln";"DE";"0";0;0;0;"Call a Bike";"Barbarossaplatz";"40026740";"";"Call a Bike";"";1;"J";"6,941426066700000";"50,929039587400000"
50785;"Standort";"";"normal";"Köln";"DE";"0";0;0;0;"Call a Bike";"Breite Strasse/Neue Langgasse/U-Bahn";"40027095";"";"Call a Bike";"";1;"J";"6,950618400000000";"50,938903260700000"
50834;"Standort";"";"normal";"Köln";"DE";"0";0;0;0;"Call a Bike";"Uni Albertus-Magnus-Platz";"40030038";"";"Call a Bike";"";1;"J";"6,928424376300000";"50,927985352200000"
50835;"Standort";"";"normal";"Köln";"DE";"0";0;0;0;"Call a Bike";"Uni Albertus-Magnus-Platz";"40030040";"";"Call a Bike";"";1;"J";"6,928424376300000";"50,927985352200000"
50836;"Standort";"";"normal";"Köln";"DE";"0";0;0;0;"Call a Bike";"Uni Heilpädagogik Haus 213";"40030042";"";"Call a Bike";"";1;"J";"6,921024450300000";"50,933659741900000"
50870;"Standort";"Innenstadt";"normal";"Köln";"DE";"0";0;0;0;"Call a Bike";"Eigelstein/Ebertplatz";"40030554";"";"Call a Bike";"";1;"J";"6,956884699500000";"50,949074010600000"
52082;"Standort";"Rathaus Schöneberg";"normal";"Berlin";"DE";"0";0;0;0;"Call a Bike";"Martin-Luther-Str. / Badensche Straße";"1771";"";"Call a Bike";"";1;"J";"13,344037000000000";"52,485452000000000"
52089;"Standort";"";"normal";"Berlin";"DE";"0";0;0;0;"Call a Bike";"Mersburger Str. / Apostel-Paulus-Straße";"1769";"";"Call a Bike";"";1;"J";"13,352451000000000";"52,488525000000000"
52094;"Standort";"";"normal";"Berlin";"DE";"0";0;0;0;"Call a Bike";"Martin-Luther-Str. / Hohenstaufenstraße";"1767";"";"Call a Bike";"";1;"J";"13,346799000000000";"52,494602000000000"
52097;"Standort";"";"normal";"Berlin";"DE";"0";0;0;0;"Call a Bike";"Wittenbergplatz / Bayreuther Straße";"1722";"";"Call a Bike";"";1;"J";"13,344165000000000";"52,502687000000000"
52102;"Standort";"";"normal";"Berlin";"DE";"0";0;0;0;"Call a Bike";"Nollendorfplatz / Maaßenstraße";"1724";"";"Call a Bike";"";1;"J";"13,354408000000000";"52,498955000000000"
52202;"Standort";"";"normal";"Berlin";"DE";"0";0;0;0;"Call a Bike";"Oranienplatz / Dresdener Str.";"1332";"";"Call a Bike";"";1;"J";"13,416390000000000";"52,501920000000000"
52231;"Standort";"";"normal";"Berlin";"DE";"0";0;0;0;"Call a Bike";"Pannierstraße / Weserstaße";"1416";"";"Call a Bike";"";1;"J";"13,431263000000000";"52,487263000000000"
52292;"Standort";"";"normal";"Berlin";"DE";"0";0;0;0;"Call a Bike";"Potsdamer Platz / Ebertstraße";"1101";"";"Call a Bike";"";1;"J";"13,374930000000000";"52,510100000000000"
52304;"Standort";"Bundeswehrkrankenhaus";"normal";"Berlin";"DE";"0";0;0;0;"Call a Bike";"Scharnhorststr. / Boyenstr.(Bundeswehrkrankenhaus";"1801";"";"Call a Bike";"";1;"J";"13,369673000000000";"52,534854000000000"
52313;"Standort";"";"normal";"Berlin";"DE";"0";0;0;0;"Call a Bike";"S-Bhf. Anhalter Bahnhof / Askanischer Platz";"1310";"";"Call a Bike";"";1;"J";"13,381754000000000";"52,504141000000000"
52329;"Standort";"";"normal";"Berlin";"DE";"0";0;0;0;"Call a Bike";"Platz vor dem Neuen Tor";"1114";"";"Call a Bike";"";1;"J";"13,378880020000000";"52,528578320000000"
52343;"Standort";"Checkpoint Charlie";"normal";"Berlin";"DE";"0";0;0;0;"Call a Bike";"Checkpoint Charlie";"1187";"";"Call a Bike";"";1;"J";"13,388793470000000";"52,507556170000000"
52371;"Standort";"U-Bhf.";"normal";"Berlin";"DE";"0";0;0;0;"Call a Bike";"U-Bhf. Rosenthaler Platz / Torstraße";"1141";"";"Call a Bike";"";1;"J";"13,400986000000000";"52,529564000000000"
52406;"Standort";"";"normal";"Berlin";"DE";"0";0;0;0;"Call a Bike";"Gormannstraße / Weinmeisterstraße";"1158";"";"Call a Bike";"";1;"J";"13,403974770000000";"52,526124080000000"
52408;"Standort";"";"normal";"Berlin";"DE";"0";0;0;0;"Call a Bike";"Linienstraße / Alte Schönhauer Straße";"1154";"";"Call a Bike";"";1;"J";"13,409135340000000";"52,527932130000000"
52424;"Standort";"";"normal";"Berlin";"DE";"0";0;0;0;"Call a Bike";"Arkonaplatz / Swinemünderstraße";"1144";"";"Call a Bike";"";1;"J";"13,401759270000000";"52,537532520000000"
